143,262,1943
803,379,1493
1553,439,2108
2108,517,2753
2798,437,3353
3398,385,3833
4133,291,4808
5438,327,5963
6098,348,6713
6728,389,7388
7433,323,7913
8033,348,8258
8318,325,8543
8648,348,8873
8918,322,9248
9263,256,11258
10613,128,13208
11273,260,12218
11963,194,13208
12578,259,15728
13268,160,13958
13928,128,14618
14558,193,17093
15953,259,17138
17183,323,17438
17423,260,17948
18038,263,18683
18728,194,22478
20093,130,22478
