170,164,320,400
170,329,320,400
170,493,320,400
320,164,470,400
320,329,470,400
320,493,470,400
470,164,620,400
470,329,620,400
470,523,620,400
620,164,770,400
620,329,770,400
620,523,770,400
770,174,920,400
770,349,920,400
770,523,920,400
920,87,1070,400
920,174,1070,400
920,261,1070,400
1070,87,1220,400
1070,174,1220,400
1070,261,1220,400
1220,82,1370,400
1220,164,1370,400
1220,261,1370,400
1370,82,1520,400
1370,164,1520,400
1370,246,1520,400
1520,82,1670,400
1520,164,1670,400
1520,246,1670,400
1670,82,1820,400
1670,164,1820,400
1670,246,1820,400
1820,87,1970,400
1820,174,1970,400
1820,261,1970,400
1970,220,2120,400
1970,440,2120,400
1970,659,2120,400
2120,220,2270,400
2120,440,2270,400
2120,659,2270,400
2270,220,2420,400
2270,440,2420,400
2270,659,2420,400
2420,130,2570,400
2420,261,2570,400
2420,391,2570,400
2570,130,2720,400
2570,261,2720,400
2570,391,2720,400
2720,130,2870,400
2720,261,2870,400
2720,391,2870,400
2870,130,3020,400
2870,261,3020,400
2870,391,3020,400
3020,123,3170,400
3020,246,3170,400
3020,391,3170,400
3170,207,3320,400
3170,415,3320,400
3170,622,3320,400
3320,195,3470,400
3320,391,3470,400
3320,587,3470,400
3470,195,3620,400
3470,391,3620,400
3470,587,3620,400
3620,195,3770,400
3620,391,3770,400
3620,587,3770,400
3770,207,3920,400
3770,415,3920,400
3770,622,3920,400
3920,110,4070,400
3920,220,4070,400
3920,329,4070,400
4070,110,4220,400
4070,220,4220,400
4070,329,4220,400
4220,110,4370,400
4220,220,4370,400
4220,329,4370,400
4370,110,4520,400
4370,220,4520,400
4370,329,4520,400
4520,110,4670,400
4520,220,4670,400
4520,329,4670,400
4670,174,4820,400
4670,349,4820,400
4670,523,4820,400
4820,164,4970,400
4820,329,4970,400
4820,523,4970,400
4970,164,5120,400
4970,329,5120,400
4970,493,5120,400
5120,164,5270,400
5120,329,5270,400
5120,493,5270,400
5270,164,5420,400
5270,329,5420,400
5270,493,5420,400
5420,174,5570,400
5420,349,5570,400
5420,523,5570,400
5570,174,5720,400
5570,349,5720,400
5570,523,5720,400
5720,164,5870,400
5720,329,5870,400
5720,523,5870,400
5870,174,6020,400
5870,349,6020,400
5870,523,6020,400
6020,174,6170,400
6020,349,6170,400
6020,523,6170,400
6170,174,6320,400
6170,349,6320,400
6170,523,6320,400
6320,174,6470,400
6320,349,6470,400
6320,523,6470,400
6470,164,6620,400
6470,329,6620,400
6470,523,6620,400
6620,164,6770,400
6620,329,6770,400
6620,523,6770,400
6770,174,6920,400
6770,349,6920,400
6770,523,6920,400
6920,164,7070,400
6920,329,7070,400
6920,523,7070,400
